Name,Year,Letterboxd URI,Rating,Watched Date
Roma,2018,https://boxd.it/1it1ZR,3.0,2020-08-12
Gravity,2013,https://boxd.it/1izFE7,2.0,2020-08-13
The Square,2017,https://boxd.it/1jbB6h,3.0,2020-08-18
Manchester by the Sea,2016,https://boxd.it/1jcrzP,4.0,2020-08-19
The Lobster,2015,https://boxd.it/1jgM6R,3.0,2020-08-20
Blue Valentine,2010,https://boxd.it/1jyCU9,3.0,2020-08-22
The Big Lebowski,1998,https://boxd.it/1ltW2J,2.0,2020-09-09
GoodFellas,1990,https://boxd.it/1ltWg7,3.5,2020-09-09
A Beautiful Mind,2001,https://boxd.it/1ltWrz,3.0,2020-09-09
2046,2004,https://boxd.it/1ltWBp,3.0,2020-09-09
Chemical Hearts,2020,https://boxd.it/1ltWLp,2.0,2020-09-09
Allied,2016,https://boxd.it/1ltWU7,3.0,2020-09-09
One Day,2011,https://boxd.it/1ltXap,3.5,2020-09-09
The Hangover,2009,https://boxd.it/1rldL3,3.0,2020-10-22
The Hangover Part II,2011,https://boxd.it/1rlel1,3.0,2020-10-23
Three Monkeys,2008,https://boxd.it/1rlftv,3.0,2020-11-01
La Dolce Vita,1960,https://boxd.it/1rmaJF,1.0,2020-11-03
Catch Me If You Can,2002,https://boxd.it/1rwmPZ,3.0,2020-11-04
Memories of Murder,2003,https://boxd.it/1HPxkZ,3.5,2021-03-06
8 Mile,2002,https://boxd.it/1K0Mr7,2.0,2021-03-08
WandaVision,2021,https://boxd.it/1J9OLn,3.0,2021-03-15
I Care a Lot,2020,https://boxd.it/1J9OWF,3.5,2021-03-16
Jack Reacher,2012,https://boxd.it/1K0Lld,1.5,2021-03-22
Set It Up,2018,https://boxd.it/1K1mhH,3.0,2021-03-22
Jennifer's Body,2009,https://boxd.it/1K87Tv,1.5,2021-03-23
Moonlight,2016,https://boxd.it/1K90nJ,2.0,2021-03-24
The Vow,2012,https://boxd.it/1ObcQj,3.0,2021-03-30
Blade Runner,1982,https://boxd.it/1OberF,1.5,2021-04-05
Blade Runner 2049,2017,https://boxd.it/1Obn6r,2.0,2021-04-06
Second Act,2018,https://boxd.it/1Oq7ST,2.0,2021-04-20
In the Arms of an Assassin,2019,https://boxd.it/1OoMsX,0.5,2021-04-21
Bicentennial Man,1999,https://boxd.it/1PaNi1,3.0,2021-04-27
The Curious Case of Benjamin Button,2008,https://boxd.it/1Pc1FF,3.0,2021-04-27
The Father,2020,https://boxd.it/1QaN1X,4.0,2021-05-04
The Mitchells vs. the Machines,2021,https://boxd.it/1RHXEZ,2.5,2021-05-13
Steve Jobs,2015,https://boxd.it/1RHSNn,3.0,2021-05-14
Ted,2012,https://boxd.it/1T1vYV,3.0,2021-05-25
The Blind Side,2009,https://boxd.it/1ToWRj,3.0,2021-05-27
Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1TnbEl,3.0,2021-05-28
How to Lose a Guy in 10 Days,2003,https://boxd.it/21MJvJ,3.5,2021-07-19
All Together Now,2020,https://boxd.it/21MKmD,2.0,2021-07-20
All the Bright Places,2020,https://boxd.it/21MJ6p,3.0,2021-07-27
Neighbors,2014,https://boxd.it/21ML2T,3.0,2021-07-27
Neighbors 2: Sorority Rising,2016,https://boxd.it/21MLm5,3.5,2021-07-27
Dirty Grandpa,2016,https://boxd.it/21MLwf,3.0,2021-07-28
To All the Boys: P.S. I Still Love You,2020,https://boxd.it/22aql9,2.0,2021-07-30
Adrift,2018,https://boxd.it/22kAyd,4.0,2021-08-01
I Still Believe,2020,https://boxd.it/23dxcX,0.5,2021-08-06
Looks That Kill,2020,https://boxd.it/23dxpn,0.5,2021-08-06
Malevolent,2018,https://boxd.it/2574Ll,3.0,2021-08-21
Vicky Cristina Barcelona,2008,https://boxd.it/278NzJ,3.0,2021-09-03
Deep Water,2022,https://boxd.it/2HKF6z,2.0,2022-03-27
Spider-Man: No Way Home,2021,https://boxd.it/2HKFsF,2.0,2022-03-28
The Eyes of Tammy Faye,2021,https://boxd.it/2KKU1V,4.0,2022-04-14
Elvis,2022,https://boxd.it/3cX8hp,3.0,2022-08-26
Malcolm & Marie,2021,https://boxd.it/3d3F3n,4.0,2022-09-08
The Menu,2022,https://boxd.it/3JB26N,3.0,2023-01-19
The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/3JB3bJ,1.5,2023-01-19
Queen of the Desert,2015,https://boxd.it/3Pxv4n,0.5,2023-02-07
Babylon,2022,https://boxd.it/3Q6qw7,3.5,2023-02-11
Breakfast at Tiffany's,1961,https://boxd.it/470Y2h,3.0,2023-02-11
Puss in Boots: The Last Wish,2022,https://boxd.it/470dlh,2.0,2023-03-16
Bullet Train,2022,https://boxd.it/470fq9,3.0,2023-03-27
The Age of Adaline,2015,https://boxd.it/470clF,3.0,2023-03-30
